Company Name	Exchange:Ticker	Market Capitalization	Total Enterprise Value	Total Revenue	EBITDA	P_LTM Diluted EPS Before Extra	Diluted EPS before Extra 1 Yr Growth	Diluted EPS before Extra 5 Yr CAGR	Diluted EPS before Extra 10 Yr CAGR	Day Close Price	Shares Outstanding	Dividend Yield	Current Ratio	Total Equity	Total Assets	Total Liabilities	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Return on Equity	Return on Assets	Gross Margin	Earnings from Cont Ops Margin	Total Debt_Equity	Est Annual EPS Growth  1 Yr	Est Annual EPS Growth  2 Yr	LT EPS Growth Rate
"Electromed, Inc. (AMEX:ELMD)"	AMEX:ELMD	49.3	45.1	24.4	3.47	31.4	26.7	30.2		5.99	8.23		6.28	16.4	21.9	3.88	0.27	0.27	0.191	0.191	9.54	8.1	78.1	6.64	6.43			
Electronic Arts Inc. (NasdaqGS:EA)	NasdaqGS:EA	"33,741.70"	"30,199.70"	"4,845.00"	"1,407.00"	35.4	12	68.1	29.1	108.99	309.6		2.15	"4,060.00"	"7,718.00"	"3,658.00"	3.08	3.08	3.08	3.08	25.9	10.5	73.5	20	24.4	6.96	12.1	13.5
"Electronics for Imaging, Inc. (NasdaqGS:EFII)"	NasdaqGS:EFII	"2,295.60"	"2,174.10"	986.6	131.3	48.8	60.6	11.8		49.4	46.5		2.9	827.8	"1,519.50"	686.9	0.95	0.95	1.01	1.01	5.8	3.11	52.1	4.89	38.7	5.39	11.6	18.5
Electrum Special Acquisition Corporation (NasdaqCM:ELEC)	NasdaqCM:ELEC	221.3	221.4			NM	NM			10.08	22		0.344	5	201.5	196.5	0.01	0.01	0.021	0.021	2.55	0.247			4.19			
"Elevate Credit, Inc. (NYSE:ELVT)"	NYSE:ELVT	391.1	805.1	606.1	48	NM	NM			9.38	41.7		14.6	13.6	589.5	570.2	1.74	1.74	2.04	2.04	90.2	5.26	29.8	4.37	"2,649.90"			
"Eleven Biotherapeutics, Inc. (NasdaqGM:EBIO)"	NasdaqGM:EBIO	37.8	17.5	30.2	8.26	10.1	NM			1.53	24.7		6.5	38.7	99.1	66.2	0.09	0.09	0.151	0.151	15.2	8.88	64.8	11.3				
Eli Lilly and Company (NYSE:LLY)	NYSE:LLY	"88,730.50"	"95,536.20"	"21,585.30"	"5,639.70"	40.8	4.72	11.7	0.383	84.35	"1,051.90"	2.47	1.24	"14,080.50"	"37,624.30"	"23,520.60"	2.58	2.58	2.07	2.07	15	7.16	73.8	10.1	72.7	17	11.8	12.8
"Ellie Mae, Inc. (NYSE:ELLI)"	NYSE:ELLI	"3,807.20"	"3,414.10"	379.7	77.3	84.6	94.8	32.8		111.75	34.1		7.96	654.9	760.4	69.1	1.15	1.15	1.32	1.32	8.99	6.28	66.2	11.8	0.086	17	4.07	23.1
Ellington Financial LLC (NYSE:EFC)	NYSE:EFC	521.8		68.3		23.9	NM	18.1		16.25	32.1	11.1	0.48	644.8	"2,931.20"	"2,276.80"	0.482	0.482	0.681	0.681	3.44	0.796	98.6	34	178.6			
Ellington Residential Mortgage REIT (NYSE:EARN)	NYSE:EARN	179.1		32.4		9.49	NM			14.76	12.1	10.8	0.179	141.7	"1,467.80"	"1,327.70"	1.31	1.31	1.56	1.56	10.1	0.995	100	43.8	843.4	7.74	2.13	
Ellomay Capital Ltd. (AMEX:ELLO)	AMEX:ELLO	91	125.8	13	5.88	NM				8.52	10.7	2.64	5.77	88.8	193.5	104.5	0.06	0.06	0.024	0.024	0.834	0.366	82.8	5.82	109.8			
Elmira Savings Bank (NasdaqCM:ESBK)	NasdaqCM:ESBK	53.2		22		16	5.85	0.333		20.13	2.64	4.57		55.7	556.6	500.5	1.25	1.25	1.26	1.26	7.89	0.785		19.9				
Eltek Ltd. (NasdaqCM:ELTK)	NasdaqCM:ELTK	6.9	11.6	35.7	0.53	NM				0.68	10.1		0.918	6.63	21.7	15.5	0.357	0.357	0.4	0.4	50.7	6.24	6.62	11.6	92.4			
eMagin Corporation (AMEX:EMAN)	AMEX:EMAN	87.4	85.1	20.5	8.61	NM	NM			2.5	35		2.12	20.5	26.9	8.14	0.27	0.27	0.327	0.327	47.6	23.4	24.1	49.2	7.75			12.5
Embotelladora Andina S.A. (SNSE:ANDINAB)	SNSE:ANDINAB	"3,845.50"	"4,769.60"	"2,748.40"	471.1	25.9	18.4	2.96	0.204	4.18	946.6	2.71	1.33	"1,256.00"	"3,332.10"	"2,012.80"	0.143	0.143	0.16	0.16	11.9	6.3	42.2	5.62	88.5	24.1	15.9	5.61
Embraer S.A. (BOVESPA:EMBR3)	BOVESPA:EMBR3	"3,574.80"	"5,229.00"	"6,204.40"	392.5	34.2	59.6	14.2	5.54	4.86	735.5	0.517	2.44	"3,947.00"	"12,180.40"	"8,173.10"	0.244	0.244	0.143	0.143	2.54	1.13	19.1	1.73	116.7			
EMC Insurance Group Inc. (NasdaqGS:EMCI)	NasdaqGS:EMCI	592.3	616.8	645.6		15.3	15.4	26.7	2.66	27.86	21.3	3.02	0.357	553.3	"1,591.60"	"1,027.30"	2.2	2.2	1.82	1.82	6.88	2.03	8.37	5.94	4.43	35.3	17.8	
Emclaire Financial Corp. (NasdaqCM:EMCF)	NasdaqCM:EMCF	61.6		23.4		14.9	3.15	1.06		28.62	2.15	3.77		54.1	706.3	651.6	1.85	1.85	1.92	1.92	7.61	0.63		17.7				
"EMCOR Group, Inc. (NYSE:EME)"	NYSE:EME	"3,851.90"	"3,970.70"	"7,698.30"	427.1	19.5	20.8	12.8	9.52	65.03	59.2	0.492	1.39	"1,537.90"	"3,805.20"	"2,271.00"	2.97	3.02	3.28	3.34	13.5	5.92	14	2.65	27.4	10.9	10.9	14.3
EMCORE Corporation (NasdaqGM:EMKR)	NasdaqGM:EMKR	296.4	227.8	110.7	9.79	46.6	350.1		21.3	11.05	26.8		5.77	107.3	135.7	22.1	0.313	0.1	0.25	0.237	5.11	2.81	34	5.9		186.8	85	15
"Emerald Expositions Events, Inc. (NYSE:EEX)"	NYSE:EEX	"1,597.10"	"2,298.80"	331.6	145.5	64.2				22.12	72.2	1.27	0.521	527.8	"1,625.10"	"1,068.20"	0.35	0.35	0.345	0.345			73.1	6.74	128.9	203.9	83.8	9.81
Emerge Energy Services LP (NYSE:EMES)	NYSE:EMES	261.9	421.1	138.4	48.4	NM	NM			8.71	30.1	0	2.65	54.7	261.1	217.6	2.93	4.55	1.9	3.42	213.5	13.2	20.5	65.1	370.2			20
Emergent BioSolutions Inc. (NYSE:EBS)	NYSE:EBS	"1,413.50"	"1,391.70"	502.7	150.2	26.2	49.5	4.86	3.26	34.5	41		7.23	596.2	951.6	341.2	1.13	1.35	1.26	1.32	9.57	6.96	49.1	12.2	40.7	21.6	29.1	16
Emerson Electric Co. (NYSE:EMR)	NYSE:EMR	"38,784.80"	"37,864.80"	"14,396.00"	"3,098.00"	23.5	0.088	3.92	0.645	60.18	644.5	3.19	2.51	"7,618.00"	"17,277.00"	"9,220.00"	2.52	2.45	2.34	2.56	21.4	8.41	43.3	11.7	50.5	12.7	1.6	6.66
Emerson Radio Corp. (AMEX:MSN)	AMEX:MSN	35.7	13.5	21.3	0.31	NM	NM			1.32	27		61.8	56.9	57.8	0.921	0.01	0.01	0.01	0.01	0.415	0.346	23.4	1.12				
Emmis Communications Corporation (NasdaqGS:EMMS)	NasdaqGS:EMMS	35.7	283.6			3.47				2.85	12.5			4.02			1.07	1.07										
"Empire Resorts, Inc. (NasdaqGM:NYNY)"	NasdaqGM:NYNY	732.7	"1,144.60"	66	23.9	NM	NM			23.5	31.2		0.237	279.6	755.2	486.3	0.863	0.863	0.99	0.99	10.8	2.9	2.02	46.2	156.1			
"Employers Holdings, Inc. (NYSE:EIG)"	NYSE:EIG	"1,367.00"	"1,340.40"	784.1	152.5	12.9	4.88	20.3	0.462	42.35	32.3	1.42	1.31	840.6	"3,833.60"	"2,966.10"	3.24	3.24	3.28	3.28	12.9	2.36	18.4	13.8	3.69	7.74	3.43	
Empresa Distribuidora y Comercializadora Norte Sociedad An?nima (BASE:EDN)	BASE:EDN	"1,387.40"	"1,533.30"	"1,005.40"	21.6	NM				1.54	898.7		0.71	22.9	"1,286.10"	"1,233.70"	0.084	0.084	0.047	0.047	58.2	0.129	14.9	4.16	521.5			49.7
"Enable Midstream Partners, LP (NYSE:ENBL)"	NYSE:ENBL	"6,870.70"	"10,274.70"	"2,429.00"	775	21.5	NM			15.89	432.4	8.01	1.34	"7,794.00"	"11,161.00"	"3,390.00"	0.684	0.684	0.738	0.738	4.44	2.4	53.4	14.3	39.2	15.3	11.2	5
"Enanta Pharmaceuticals, Inc. (NasdaqGS:ENTA)"	NasdaqGS:ENTA	711.2	537.6	46.2	18.8	NM				37.27	19.1		20.8	271.2	279	11.7	1.13	1.13	0.696	0.696	4.95	4.63	100	28.7	0.246			
"Enbridge Energy Management, L.L.C. (NYSE:EEQ)"	NYSE:EEQ	"1,342.50"	"1,341.70"			NM	NM			15.68	85.6			0.8	0.8		1.47	1.47	0.068	0.068	746.7							
"Enbridge Energy Partners, L.P. (NYSE:EEP)"	NYSE:EEP	"6,956.80"	"21,398.00"	"4,599.00"	"1,654.50"	NM	NM			16.63	418.3	8.42	0.15	"7,822.50"	"19,379.10"	"11,619.00"	1.08	1.08	0.99	0.99	0.679	3.5	54.8	1.22	131.4	80.6	29.7	
Enbridge Inc. (TSX:ENB)	TSX:ENB	"66,877.10"	"134,984.30"	"27,697.90"	"4,728.20"	43	34	1.26	2.52	40.81	"1,638.80"	4.72	0.647	"18,876.30"	"127,964.30"	"73,367.00"	1.44	1.44	0.902	0.902	3.95	1.95	29.3	5.17	93.2	8	6.21	5.72
Encana Corporation (TSX:ECA)	TSX:ECA	"9,199.10"	"13,373.30"	"3,522.00"	980	NM	NM			9.45	973.1	0.635	1.28	"6,126.00"	"14,695.00"	"8,170.00"	1.07	1.07	0.147	0.147	2.23	0.61	37.6	3.81	68.8	320.1	186.3	
"Encore Capital Group, Inc. (NasdaqGS:ECPG)"	NasdaqGS:ECPG	"1,047.50"	"3,796.40"	"1,012.20"	269.4	14.6	4.65	1.76	10	40.7	25.7		11.9	597.5	"3,764.70"	"3,125.50"	2.96	3.05	2.81	2.78	0.703	3.88	100	0.45	449.1	7.51	8.12	15
Encore Wire Corporation (NasdaqGS:WIRE)	NasdaqGS:WIRE	881.8	795.3	994.6	74.2	22.7	14.2	1.03	8.3	42.5	20.7	0.188	6.72	573.1	679.1	92.1	1.63	1.63	1.87	1.87	6.85	5.62	13	3.91		41.1	31.6	10
Endeavour Silver Corp. (TSX:EDR)	TSX:EDR	371.4	304	151.7	31.7	43.8	NM	31.8		2.91	127.5		3.72	133.3	184.4	44.6	0.03	0.03	0.063	0.063	8.05	7.6	35.2	5.35	4.65	130.6	81.7	
Endo International plc (NasdaqGS:ENDP)	NasdaqGS:ENDP	"2,675.10"	"10,307.70"	"4,084.30"	411.8	NM	NM			11.99	223.1		1.13	"2,701.60"	"13,218.70"	"11,030.60"	15	14.5	15.2	14.8	81.4	1.87	33.8	80.8	377.1	24.9	16.4	5.6
"Endocyte, Inc. (NasdaqGS:ECYT)"	NasdaqGS:ECYT	61.6	66	0.07	41.6	NM	NM			1.45	42.5		26.3	137.1	132.4	5.69	1.04	1.04	1.07	1.07	31.2	17.7						
"Endologix, Inc. (NasdaqGS:ELGX)"	NasdaqGS:ELGX	404.9	550.6	193.2	61.3	NM	NM			4.88	83		2.8	112.8	340.9	245.9	1.91	1.91	1.56	1.56	111.5	11.3	64.4	66.4	189.3			
ENDRA Life Sciences Inc. (NasdaqCM:NDRA)	NasdaqCM:NDRA	14.8	16	0.516	1.72		NM			3.8	3.91		0.138	0.894	0.545	1.93	3.84	3.84	4.34	4.34	NM		54.3		NM			
"Endurance International Group Holdings, Inc. (NasdaqGS:EIGI)"	NasdaqGS:EIGI	"1,284.40"	"3,222.10"	"1,169.20"	274.3	NM	NM			9	142.7		0.335	142.1	"2,739.30"	"2,614.60"	0.546	0.546	0.97	0.97	71.6	1.46	49.5	10.9	"1,593.10"	216.7	87.7	
Enduro Royalty Trust (NYSE:NDRO)	NYSE:NDRO	112.2	112.1	8.43		14.1	41.5	20.4		3.4	33	8.12		107.3	103.5		0.257	0.257	0.241	0.241	7.19	4.36	100	94.5				
Enel Am?ricas S.A. (SNSE:ENELAM)	SNSE:ENELAM	"11,727.40"	"16,212.20"	"8,211.30"	"2,484.40"	31.4	1.56	18.1	4.47	0.204	"57,452.60"	2.48	0.984	"7,867.40"	"18,800.50"	"10,731.20"	0.011	0.008	0.007	0.006	9.72	7.18	46.3	9.25	57.6	9.77	11.5	
Enel Chile S.A. (SNSE:ENELCHILE)	SNSE:ENELCHILE	"5,583.90"	"7,442.50"	"4,368.70"	"1,352.00"	7.93				0.114	"49,092.80"	4.32	1.41	"5,164.60"	"8,268.70"	"2,776.40"	0.012	0.012	0.014	0.014			40.6	23.8	22.6	0.063	3.67	
Enel Generaci?n Chile S.A. (SNSE:ENELGXCH)	SNSE:ENELGXCH	"6,402.00"	"7,517.00"	"2,428.70"	913.8	8.93	424.4	2.55	7.8	0.781	"8,201.80"	3.56		"2,579.70"			0.086	0.071	0.087	0.087			44.5	29.9	47.4	13.9	5.65	5
Energen Corporation (NYSE:EGN)	NYSE:EGN	"4,809.90"	"5,265.80"	641	343.6	70.1	NM	25.5	15.9	49.49	97.2	0	0.755	"3,120.60"	"4,598.70"	"1,444.20"	1.77	1.77	0.706	0.706	2.22	1.29	72.5	10.8	17.3			40
"Energizer Holdings, Inc. (NYSE:ENR)"	NYSE:ENR	"2,870.90"	"3,566.10"	"1,712.00"	348.9	15.5	119			46.43	61.8	2.37	1.96	30	"1,728.00"	"1,661.20"	2.04	2.04	3.01	3.01	665.4	11.6	46.1	11	"1,597.90"	24.5	14.8	10.1
Energous Corporation (NasdaqCM:WATT)	NasdaqCM:WATT	333.4	311.9	1.89	46.4	NM	NM			16.17	20.6		4.81	28.6	24.6	4.66	2.6	2.6	2.54	2.54	233.9	116.6	100					
"Energy Focus, Inc. (NasdaqCM:EFOI)"	NasdaqCM:EFOI	25.9	10.9	26.7	17	NM				2.2	11.8		7.39	29.9	29.2	3.81	1.45	1.45	1.67	1.67	56.3	27.7	19.1	72.8				
Energy Fuels Inc. (TSX:EFR)	TSX:EFR	116.2	138.7	40.3	31.7	NM	NM			1.65	70.4		3.02	137.9	196.5	60.7	0.698	0.698	0.666	0.666	30.2	12.4	23.7	103.2	22			
"Energy Recovery, Inc. (NasdaqGS:ERII)"	NasdaqGS:ERII	445	347.6	56.9	5.11	174.4	NM			8.25	53.9		8.71	65.1	148.2	79.6	0.02	0.02	0.047	0.047	3.98	0.802	67	4.51	0.052	"1,608.30"		15
"Energy Transfer Equity, L.P. (NYSE:ETE)"	NYSE:ETE	"19,505.90"	"89,256.90"	"41,056.00"	"5,468.00"	21.7	27.5	13.9		18.04	"1,081.30"	6.32	1.05	"22,565.00"	"80,997.00"	"55,240.00"	0.92	0.92	0.833	0.833	0.02	2.45	15.8	0.012	166.8	32.4	14.3	18
"Energy Transfer Partners, L.P. (NYSE:ETP)"	NYSE:ETP	"23,874.00"	"65,461.00"	"24,241.00"	"4,731.00"	NM	NM			20.45	"1,167.40"	10.5	1.01	"26,542.00"	"72,437.00"	"42,681.00"	2.06	2.06	1.84	1.84	2.17	2.43	21.4	2.53	107.7			7
"Energy XXI Gulf Coast, Inc. (NasdaqGS:EXXI)"	NasdaqGS:EXXI	659.9	577	635.1	254.2	NM				19.87	33.2		1.48	474.3	"1,229.30"	819.5	24.5	24.5	59.2	59.2			48.5	672.2	18.9			
"EnerJex Resources, Inc. (AMEX:ENRJ)"	AMEX:ENRJ	2.99	20.2	2.54	3.49	NM	NM			0.305	9.82		0.078	18.5	7.58	28.1	1.92	1.92	1.43	1.43	NM	22.4	1.61		NM			
"EnerNOC, Inc. (NasdaqGS:ENOC)"	NasdaqGS:ENOC	242.4	286	398.7	0.245	NM	NM			7.73	31.4		2.09	79.9	290.7	208.8	1.72	1.72	1.42	1.42	52.8	5.76	39.5	10.5	141.9			
Enerplus Corporation (TSX:ERF)	TSX:ERF	"2,044.20"	"2,628.50"	576	268.7	3.98	NM	60.5	4.53	8.44	242.1	1.12	2.1	"1,087.30"	"1,980.90"	834.7	1.28	1.28	2.02	2.02	59.6	1.6	56.1	84.3	48.7	47.7	33.5	
EnerSys (NYSE:ENS)	NYSE:ENS	"3,138.30"	"3,249.10"	"2,367.10"	336.9	19.9	21.7	4.44	14.4	72.31	43.4	0.968	3.04	"1,108.40"	"2,293.00"	"1,184.70"	3.64	3.64	3.64	3.64	14.8	7.85	27.6	6.68	54.7	4.37	6.66	11
"Engility Holdings, Inc. (NYSE:EGL)"	NYSE:EGL	"1,092.50"	"2,116.00"	"2,038.90"	192	NM	NM			29.68	36.8		1.36	704.8	"2,152.00"	"1,438.80"	0.294	0.294	0.018	0.018	0.537	4.21	14.5	0.187	145.4	31.7	18.8	
ENGlobal Corporation (NasdaqCM:ENG)	NasdaqCM:ENG	31.5	17.8	56.9	2.11	NM				1.16	27.1		4.24	36.8	42.3	6.34	0.085	0.085	0.09	0.09	6.58	4.27	17.9	4.34	0.081			
Eni S.p.A. (BIT:ENI)	BIT:ENI	"54,634.00"	"72,351.40"	"64,654.60"	"10,672.60"	160	NM	47.9	28.6	15.17	"3,601.10"	6.04	1.34	"56,039.30"	"133,878.30"	"77,063.70"	0.43	0.308	0.089	0.089	0.573	1.32	22.3	0.501	51.4			46.8
"EnLink Midstream Partners, LP (NYSE:ENLK)"	NYSE:ENLK	"5,931.30"	"10,901.00"	"4,692.50"	727.9	NM	NM			17.12	346.5	9.11	0.669	"4,645.60"	"9,059.40"	"4,443.30"	1.99	1.99	0.327	0.327	0.062	1.51	26.9	0.062	75.3			3
"EnLink Midstream, LLC (NYSE:ENLC)"	NYSE:ENLC	"3,241.00"	"10,129.30"	"4,692.50"	724.7	NM	NM			17.95	180.6	5.68	0.666	"5,270.80"	"10,177.50"	"4,958.60"	2.53	2.53	0.02	0.02	0.144	1.32	26.9	0.162	67.5	85.1	34.8	9
"Ennis, Inc. (NYSE:EBF)"	NYSE:EBF	489.3	435	361.1	55.7	17.9	8.3	3.19	3.92	19.25	25.4	4.16	5.18	251.4	324.4	72.5	0.069	1.03	1.03	1.07	10.1	7.74	29.7	7.62	11.9	1.77	1.21	1
"Enova International, Inc. (NYSE:ENVA)"	NYSE:ENVA	547.6		696.3		14.3	28.7			16.35	33.5		9.35	241.7	985.4	726.9	1.03	1.03	1.14	1.14	16.2	4.06	38.4	5.54	245.3	27.7	22.2	
"Enphase Energy, Inc. (NasdaqGM:ENPH)"	NasdaqGM:ENPH	69.5	86.4	313.2	45	NM	NM			0.825	84.3		2.25	1.3	167.5	160	1.34	1.34	1.24	1.24	435.8	21.2	17	23	627.5			
"EnPro Industries, Inc. (NYSE:NPO)"	NYSE:NPO	"1,567.40"	"2,264.10"	"1,188.60"	167.7	120.4	NM	21.1		73.39	21.4	1.2	0.918	358.5	"1,529.60"	"1,167.30"	1.86	1.86	0.609	0.609	3.41	4.49	33.5	1.1	223.7	126.9	57.8	12.7
Ensco plc (NYSE:ESV)	NYSE:ESV	"1,572.40"	"4,443.20"	"2,433.50"	"1,095.80"	2.3	NM	9.76	8.65	5.18	303.6	0.772	4.97	"8,255.00"	"13,972.30"	"5,746.50"	3.13	3.1	2.28	2.25	9.21	3.05	50.1	28.2	60.1			174.2
Enservco Corporation (AMEX:ENSV)	AMEX:ENSV	17.1	43.4	30.1	2.1	NM	NM			0.335	51.1		2.66	14.4	45.5	30.9	0.22	0.22	0.176	0.176	47.1	11.9	5.47	24.7	181.3			20
Enstar Group Limited (NasdaqGS:ESGR)	NasdaqGS:ESGR	"3,921.40"	"4,213.40"	"1,121.00"	392.6	15	17.3	4.86	13	201.9	19.4		5.25	"3,265.40"	"14,882.90"	"11,535.70"	13.6	13	14.1	13.4	9.75	1.62	70.7	27.6	21.8			
"EnSync, Inc. (AMEX:ESNC)"	AMEX:ESNC	20.1	10	10.7	18.1	NM	NM			0.365	55.2		8.72	18	22.6	16.6	0.385	0.385	0.406	0.406	132	37.2	71.9	181.6	19			25
Entegra Financial Corp. (NasdaqGM:ENFC)	NasdaqGM:ENFC	144.7		42.9		23.1	71.9			22.4	6.46			133.1	"1,384.30"	"1,249.30"	0.98	0.98	0.97	0.97	4.69	0.517		14.7		6.61	22.5	
"Entegris, Inc. (NasdaqGS:ENTG)"	NasdaqGS:ENTG	"3,478.10"	"3,647.30"	"1,225.60"	284.9	30.7	40.4	0.475	5.43	24.55	141.7		3.35	899.2	"1,696.10"	751	0.68	0.68	0.8	0.8	12.8	6.91	44	9.26	59.3	23.6	19.5	13.2
"Entellus Medical, Inc. (NasdaqGM:ENTL)"	NasdaqGM:ENTL	387.3	340.3	77.4	25.4	NM	NM			17.67	21.9		4.57	35.4	108.2	33.2	1.53	1.53	1.56	1.56	47.6	18.3	74.7	39	28.4			20
Entercom Communications Corp. (NYSE:ETM)	NYSE:ETM	394.9	875.9	461.6	101.2	17.1	31.5	19.9	5.5	9.7	40.7	3.09	1.8	421.1	"1,009.30"	596.7	0.91	0.91	0.566	0.566	6.04	5.72	30.1	5.27	111	40.7	16.5	2
Entergy Corporation (NYSE:ETR)	NYSE:ETR	"13,547.90"	"28,278.60"	"10,824.30"	"3,585.70"	NM	NM			75.49	179.5	4.61	0.876	"8,285.00"	"45,318.20"	"37,057.80"	3.26	3.26	4.08	4.08	8.15	2.47	38.6	6.75	189	32.1	17.1	6
EnteroMedics Inc. (NasdaqCM:ETRM)	NasdaqCM:ETRM	30	11.4	0.755	22.2	NM	NM			4.35	6.91		5.61	2.94	21.7	3.76	37.5	37.5	11.4	11.4	279.5	76.2	44.2					
"Enterprise Bancorp, Inc. (NasdaqGS:EBTC)"	NasdaqGS:EBTC	406.9		101.7		19.9	9.98	7.56		35.17	11.6	1.54		214.8	"2,572.40"	"2,352.50"	1.7	1.7	1.77	1.77	9.86	0.821		19.7				
Enterprise Financial Services Corp (NasdaqGS:EFSC)	NasdaqGS:EFSC	951		166.5		16.7	23.1	11.7		40.5	23.5	1.09		387.1	"5,106.20"	"4,568.30"	2.41	2.41	2.43	2.43	11.2	1.14		30.2		29.8	20.9	9
Enterprise Products Partners L.P. (NYSE:EPD)	NYSE:EPD	"59,343.00"	"82,925.60"	"25,337.40"	"4,975.00"	22.4	2.18	1.18	8.18	27.71	"2,141.60"	6.06	0.8	"22,266.00"	"51,529.50"	"28,729.50"	1.2	1.2	1.24	1.24	12	4.2	14.1	10.5	102.7	17.4	13.6	7.17
Entravision Communications Corporation (NYSE:EVC)	NYSE:EVC	614.3	838.9	257.9	64.5	29.6	4.18			6.8	90.3	1.84	4.51	183.5	514.3	326.8	0.22	0.22	0.23	0.23	11.7	5.94	52.5	8.05	156.6	23.5	20.6	
Entr?e Resources Ltd. (TSX:ETG)	TSX:ETG	68.3	57.6		4.21	NM	NM			0.395	172.9		34.4	19.5	57.7	34.1	0.031	0.031	0.032	0.032	18.8	4.63			31.5			
"Envestnet, Inc. (NYSE:ENV)"	NYSE:ENV	"1,691.80"	"1,937.50"	604.1	51.2	NM	NM			38.6	43.8		0.608	413.3	854.1	450.2	1.3	1.3	1.34	1.34	13.8	0.626	28.1	9.55	70.5	28	26.5	17.5
"EnviroStar, Inc. (AMEX:EVI)"	AMEX:EVI	253	254	75.9	5.93	73.2	46.5	30.5	11.7	24.4	10.4	0.41	1.18	5.09	52.3	23.4	0.247	0.247	0.333	0.333	17.9	11	22	3.95	16			
Envision Healthcare Corporation (NYSE:EVHC)	NYSE:EVHC	"7,172.80"	"13,620.30"	"4,849.90"	913.4	NM				61.79	116.1		3.12	"7,570.80"	"16,691.40"	"9,560.40"	0.47	0.47	6.74	0.343	4.12	3.71	32.3	4.29	81.8	18.3	2.47	11.1
"Enviva Partners, LP (NYSE:EVA)"	NYSE:EVA	739.5	"1,002.60"	479.1	82.8	31.9	10.9			28.1	26.3	7.9	1.63	309.5	707.5	407.8	1.09	1.09	0.882	0.882	4.72	5.24	23.2	3.06	115.1	55.6	24	
"Enzo Biochem, Inc. (NYSE:ENZ)"	NYSE:ENZ	547.1	485.6	106.2	4.59	16.5	86.7			11.79	46.4		5.16	89.6	106.6	18	0.97	0.97	0.713	0.713	47.4	5.64	45.2	31.6	1.18			
Enzymotec Ltd. (NasdaqGS:ENZY)	NasdaqGS:ENZY	166.4	124.5	45.7	1.87	NM				7.25	22.9		8.83	136.6	148.1	10.7	0.13	0.13	0.192	0.192	3.15	1.94	63.6	9.5		440	194.4	25.7
"EOG Resources, Inc. (NYSE:EOG)"	NYSE:EOG	"53,033.70"	"58,473.70"	"8,769.90"	"3,462.10"	NM	NM			91.87	577.3	0.729	1.67	"13,981.60"	"29,212.00"	"15,283.70"	1.98	1.98	1.07	1.07	4.53	1.45	51.1	6.8	50.2			
EP Energy Corporation (NYSE:EPE)	NYSE:EPE	900.5	"4,729.50"	915	415	NM	NM			3.53	255.1		0.78	606	"4,851.00"	"4,295.00"	0.11	0.11	0.685	0.685	26.4	0.713	70.3	18.4	695			3
"EPAM Systems, Inc. (NYSE:EPAM)"	NYSE:EPAM	"4,367.50"	"3,993.70"	"1,220.30"	173.7	45.3	4.64	19.1		84.25	51.8		5.76	781.4	987	151.9	1.87	1.87	1.86	1.86	13.3	10.4	36.3	8.11	3	18.4	18.4	20.5
"Epizyme, Inc. (NasdaqGS:EPZM)"	NasdaqGS:EPZM	869.5	659	7.54	120.1	NM	NM			14.9	58.4		10.7	201.7	223.9	49.4	1.93	1.93	2.08	2.08	52.9	27.8			0.332			
ePlus inc. (NasdaqGS:PLUS)	NasdaqGS:PLUS	"1,088.10"	"1,148.30"	"1,329.40"	97.8	21.3	18	20.8	13.4	76.85	14.2		1.59	345.9	741.7	395.8	3.6	3.6	3.6	3.6	15.2	7.92	21.6	3.8	49.2	2.14	9.45	10.5
EQT Corporation (NYSE:EQT)	NYSE:EQT	"10,724.80"	"16,407.50"	"2,178.00"	993.7	NM	NM			61.88	173.3	0.194	1.4	"9,119.20"	"15,646.60"	"6,336.00"	2.71	2.71	1.72	1.72	0.351	0.232	68.9	1.43	35.3			17.5
"EQT GP Holdings, LP (NYSE:EQGP)"	NYSE:EQGP	"7,886.50"	"11,930.70"	753.3	601	35.3	45			29.63	266.2	2.58	1.21	"1,992.70"	"3,161.20"	"1,122.10"	0.798	0.798	0.839	0.839	30	11.9	89.9	72.9	48.4	12.8	11.4	20.8
"EQT Midstream Partners, LP (NYSE:EQM)"	NYSE:EQM	"6,266.00"	"7,198.60"	753.3	604.2	15	5.27	26.8		77.76	80.6	4.58	1.22	"1,993.60"	"3,160.50"	"1,120.30"	5.21	5.21	5.18	5.18	28.9	12	89.9	70.4	48.3	8.02	6.11	11
Equifax Inc. (NYSE:EFX)	NYSE:EFX	"16,801.80"	"19,411.90"	"3,248.80"	"1,178.50"	31.4	21.2	17.5	7.39	139.77	120.2	1.12	0.587	"2,721.30"	"6,789.00"	"3,836.80"	4.04	4.04	4.45	4.45	20	8.27	64.3	16.9	90.4	9.87	10.5	11.5
Equitable Financial Corp. (NasdaqCM:EQFN)	NasdaqCM:EQFN	35		9.89		30	21.3			10.2	3.43			36	241.3	205.4	0.32	0.32	0.34	0.34	3.26	0.49		11.8				
"Equity Bancshares, Inc. (NasdaqGS:EQBK)"	NasdaqGS:EQBK	385.3		68.4		28.4	29.3			31.57	12.2			258	"2,399.30"	"2,120.10"	1.07	1.07	1.11	1.11	4.97	0.55		15.8		29.5	20.1	
